#自治体コード表（2007年7月時点）＋07年04年参院選データシート＋07年都道府県議選の投票有無
#有＝有権者数、投＝投票者数、率＝投票率、差＝07年の投票率－04年の投票率、県無投＝無投票のときTRUE
コード,都道府県,自治体1,自治体2,市区町村,参有男07,参有女07,参有計07,参投男07,参投女07,参投計07,参率男07,参率女07,参率計07,参率男04,参率女04,参率計04,参差男07,参差女07,参差計07,県無投07
01100,北海道,札幌市,,札幌市,,,,,,,,,,,,,,,,
01101,北海道,札幌市,中央区,札幌市中央区,,,,,,,,,,,,,,,,
01102,北海道,札幌市,北区,札幌市北区,,,,,,,,,,,,,,,,
01103,北海道,札幌市,東区,札幌市東区,,,,,,,,,,,,,,,,
01104,北海道,札幌市,白石区,札幌市白石区,,,,,,,,,,,,,,,,
01105,北海道,札幌市,豊平区,札幌市豊平区,,,,,,,,,,,,,,,,
01106,北海道,札幌市,南区,札幌市南区,,,,,,,,,,,,,,,,
01107,北海道,札幌市,西区,札幌市西区,,,,,,,,,,,,,,,,
01108,北海道,札幌市,厚別区,札幌市厚別区,,,,,,,,,,,,,,,,
01109,北海道,札幌市,手稲区,札幌市手稲区,,,,,,,,,,,,,,,,
01110,北海道,札幌市,清田区,札幌市清田区,,,,,,,,,,,,,,,,
01202,北海道,,函館市,函館市,,,,,,,,,,,,,,,,
01203,北海道,,小樽市,小樽市,,,,,,,,,,,,,,,,
01204,北海道,,旭川市,旭川市,,,,,,,,,,,,,,,,
01205,北海道,,室蘭市,室蘭市,,,,,,,,,,,,,,,,
01206,北海道,,釧路市,釧路市,,,,,,,,,,,,,,,,
01207,北海道,,帯広市,帯広市,,,,,,,,,,,,,,,,
01208,北海道,,北見市,北見市,,,,,,,,,,,,,,,,
01209,北海道,,夕張市,夕張市,,,,,,,,,,,,,,,,
01210,北海道,,岩見沢市,岩見沢市,,,,,,,,,,,,,,,,
01211,北海道,,網走市,網走市,,,,,,,,,,,,,,,,
01212,北海道,,留萌市,留萌市,,,,,,,,,,,,,,,,
01213,北海道,,苫小牧市,苫小牧市,,,,,,,,,,,,,,,,
01214,北海道,,稚内市,稚内市,,,,,,,,,,,,,,,,
01215,北海道,,美唄市,美唄市,,,,,,,,,,,,,,,,
01216,北海道,,芦別市,芦別市,,,,,,,,,,,,,,,,
01217,北海道,,江別市,江別市,,,,,,,,,,,,,,,,
01218,北海道,,赤平市,赤平市,,,,,,,,,,,,,,,,
01219,北海道,,紋別市,紋別市,,,,,,,,,,,,,,,,
01220,北海道,,士別市,士別市,,,,,,,,,,,,,,,,
01221,北海道,,名寄市,名寄市,,,,,,,,,,,,,,,,
01222,北海道,,三笠市,三笠市,,,,,,,,,,,,,,,,
01223,北海道,,根室市,根室市,,,,,,,,,,,,,,,,
01224,北海道,,千歳市,千歳市,,,,,,,,,,,,,,,,
01225,北海道,,滝川市,滝川市,,,,,,,,,,,,,,,,
01226,北海道,,砂川市,砂川市,,,,,,,,,,,,,,,,
01227,北海道,,歌志内市,歌志内市,,,,,,,,,,,,,,,,
01228,北海道,,深川市,深川市,,,,,,,,,,,,,,,,
01229,北海道,,富良野市,富良野市,,,,,,,,,,,,,,,,
01230,北海道,,登別市,登別市,,,,,,,,,,,,,,,,
01231,北海道,,恵庭市,恵庭市,,,,,,,,,,,,,,,,
01233,北海道,,伊達市,伊達市,,,,,,,,,,,,,,,,
01234,北海道,,北広島市,北広島市,,,,,,,,,,,,,,,,
01235,北海道,,石狩市,石狩市,,,,,,,,,,,,,,,,
01236,北海道,,北斗市,北斗市,,,,,,,,,,,,,,,,
01300,北海道,石狩支庁,,石狩支庁,,,,,,,,,,,,,,,,
01303,北海道,石狩支庁,当別町,石狩支庁当別町,,,,,,,,,,,,,,,,
01304,北海道,石狩支庁,新篠津村,石狩支庁新篠津村,,,,,,,,,,,,,,,,
01330,北海道,渡島支庁,,渡島支庁,,,,,,,,,,,,,,,,
01331,北海道,渡島支庁,松前町,渡島支庁松前町,,,,,,,,,,,,,,,,
01332,北海道,渡島支庁,福島町,渡島支庁福島町,,,,,,,,,,,,,,,,
01333,北海道,渡島支庁,知内町,渡島支庁知内町,,,,,,,,,,,,,,,,
